SpinId,TotalBet,TotalWin,IsBonus,RunningRtp,WinCount
57822,20,56,False,0.42705371657846497,11
57823,20,0,False,0.42704633104474,0
57824,20,0,False,0.42703894576646373,0
57825,20,0,False,0.427031560743623,0
57826,20,0,False,0.42702417597620446,0
57827,20,20,False,0.4270340844242309,1
57828,20,0,False,0.4270266998685758,0
57829,20,0,False,0.42701931556831346,0
57830,20,7,False,0.42701798374546085,7
57831,20,0,False,0.4270105998512908,0
57832,20,1,False,0.42700408078572416,1
57833,20,0,False,0.42699669738730484,0
57834,20,0,False,0.4269893142442162,0
57835,20,0,False,0.4269819313564451,0
57836,20,3,False,0.42697714226433364,1
57837,20,122,False,0.4270752286598544,6
57838,20,0,False,0.4270678446695944,0
57839,20,0,False,0.4270604609346635,0
57840,20,0,False,0.4270530774550484,0
57841,20,60,False,0.42709756055393233,1
57842,20,6,False,0.42709536323087033,2
57843,20,0,False,0.4270879795307989,0
57844,20,0,False,0.4270805960860245,0
57845,20,0,False,0.4270732128965338,0
57846,20,0,False,0.42706582996231374,0
57847,20,0,False,0.4270584472833509,0
57848,20,4,False,0.42705452219610013,1
57849,20,0,False,0.4270471399678473,0
57850,20,3,False,0.42704235090751946,1
57851,20,0,False,0.42703496914487216,0
57852,20,0,False,0.4270275876374196,0
57853,20,0,False,0.4270202063851486,0
57854,20,0,False,0.42701282538804575,0
57855,20,0,False,0.427005444646098,0
57856,20,0,False,0.42699806415929203,0
57857,20,0,False,0.42699068392761463,0
57858,20,0,False,0.42698330395105255,0
57859,20,10,False,0.42698456592751344,6
57860,20,0,False,0.42697718631178705,0
57861,20,9,False,0.42697758421043536,4
57862,20,0,False,0.4269702049704469,0
57863,20,0,False,0.4269628259855175,0
57864,20,4,False,0.4269589036361123,1
57865,20,24,False,0.4269722630260088,8
57866,20,0,False,0.426964884388069,0
57867,20,0,False,0.42695750600514976,0
57868,20,28,False,0.42697432086818277,3
57869,20,23,False,0.42698681504778035,3
